epoch,batch,train_loss,train_accuracy
9,419,1.4334514,0.55
9,420,1.4250497,0.35
9,421,1.3400134,0.45
9,422,0.7738589,0.75
9,423,1.2216525,0.65
9,424,1.029958,0.6
9,425,0.90671253,0.75
9,426,0.6775308,0.9
9,427,0.71123075,0.8
9,428,1.2061279,0.6
9,429,1.0027417,0.65
9,430,1.0580481,0.45
9,431,0.8057259,0.75
9,432,1.0319884,0.45
9,433,1.011966,0.6
9,434,1.0863533,0.65
9,435,0.803445,0.65
9,436,1.0018562,0.5
9,437,0.91882193,0.7
9,438,1.1623561,0.45
9,439,0.9940829,0.6
9,440,1.1023991,0.5
9,441,1.4976928,0.3
9,442,0.73217356,0.65
9,443,0.62385035,0.85
9,444,1.2191305,0.5
9,445,1.0322554,0.6
9,446,0.95126855,0.7
9,447,1.0655093,0.5
9,448,0.7728558,0.8
9,449,1.1239235,0.65
9,450,0.9785363,0.6
10,451,1.2030823,0.45
10,452,1.11527,0.45
10,453,0.8847791,0.7
10,454,1.3436674,0.5
10,455,0.92395,0.75
10,456,1.0401928,0.55
10,457,0.745826,0.65
10,458,1.2054584,0.6
10,459,1.013962,0.45
10,460,0.91768885,0.7
10,461,0.9318042,0.45
10,462,0.9275938,0.6
10,463,0.8359596,0.75
10,464,1.0850146,0.6
10,465,1.1527936,0.6
10,466,1.2511481,0.6
10,467,0.9106765,0.7
10,468,1.228805,0.45
10,469,1.0219601,0.65
10,470,0.89342356,0.7
10,471,1.137335,0.55
10,472,1.2945259,0.55
10,473,1.0153143,0.6
10,474,1.0359737,0.55
10,475,0.91099614,0.6
10,476,1.0289965,0.6
10,477,1.1351931,0.55
10,478,0.9570255,0.7
10,479,0.9612733,0.6
10,480,1.1275048,0.5
10,481,1.0452052,0.6
10,482,1.1960341,0.55
10,483,0.85935247,0.65
10,484,0.806811,0.75
10,485,0.9189494,0.6
10,486,0.79794824,0.65
10,487,0.7556314,0.7
10,488,1.3448577,0.5
10,489,0.8580435,0.75
10,490,0.9769332,0.55
10,491,1.0232694,0.7
10,492,1.3684127,0.35
10,493,1.0156604,0.5
10,494,1.0245907,0.55
10,495,1.1819319,0.4
10,496,1.1216272,0.5
10,497,0.9429697,0.65
10,498,0.83301276,0.65
10,499,0.78786314,0.65
10,500,1.1762078,0.45
11,501,0.9811386,0.65
11,502,0.9905165,0.7
11,503,0.9766199,0.55
11,504,0.9024824,0.6
11,505,1.1053559,0.5
11,506,0.97990245,0.65
11,507,1.0882757,0.6
11,508,0.88336027,0.6
11,509,0.91774684,0.6
11,510,1.0392082,0.6
11,511,1.1853772,0.55
11,512,1.6305611,0.35
11,513,0.76866686,0.8
11,514,1.2141984,0.5
11,515,1.2783144,0.45
11,516,1.3400478,0.55
11,517,0.9327216,0.65
11,518,0.6817277,0.85
11,519,1.0139678,0.6
11,520,1.1660967,0.35
11,521,0.8524467,0.7
11,522,1.1426389,0.5
11,523,1.3721976,0.5
11,524,0.76600385,0.8
11,525,1.3824775,0.4
11,526,0.9824917,0.55
11,527,0.9451691,0.6
11,528,0.810833,0.6
11,529,0.9529849,0.6
11,530,0.96135056,0.65
11,531,1.1258222,0.45
11,532,0.93088245,0.7
11,533,0.80604774,0.6
11,534,0.77788776,0.65
11,535,1.1541837,0.5
11,536,1.4106638,0.55
11,537,1.1288035,0.5
11,538,1.1948701,0.5
11,539,1.1136974,0.6
11,540,1.1179364,0.65
11,541,0.8831731,0.75
11,542,1.0465485,0.65
11,543,1.2319082,0.45
11,544,1.0946072,0.55
11,545,0.87146264,0.55
11,546,1.198875,0.5
11,547,0.92706645,0.6
11,548,1.2016456,0.55
11,549,0.90527475,0.55
11,550,1.1510303,0.55
12,551,0.9946419,0.55
12,552,1.1953167,0.55
12,553,1.033539,0.6
12,554,0.78580815,0.7
12,555,0.85389996,0.7
12,556,0.77452004,0.65
12,557,0.7459303,0.8
12,558,1.0987114,0.5
12,559,0.9220389,0.65
12,560,0.7804252,0.75
12,561,1.1630998,0.5
12,562,1.0313741,0.55
12,563,1.1950686,0.65
12,564,0.84866315,0.65
12,565,0.8777644,0.65
12,566,1.2499919,0.4
12,567,0.75626504,0.6
12,568,1.0037597,0.6
12,569,0.9649725,0.7
12,570,0.81047696,0.7
12,571,1.1611888,0.6
12,572,1.1529828,0.5
12,573,1.0069362,0.55
12,574,0.7054032,0.8
12,575,1.0131326,0.5
12,576,1.4863288,0.45
12,577,0.9341775,0.6
12,578,0.8493692,0.65
12,579,1.0260075,0.55
12,580,1.4100807,0.5
12,581,1.2871197,0.45
12,582,0.622738,0.9
12,583,1.0653862,0.45
12,584,0.88818896,0.6
12,585,0.8319229,0.6
12,586,0.9698318,0.45
12,587,1.4804069,0.25
12,588,1.1710567,0.6
12,589,1.1557834,0.45
12,590,1.2818362,0.55
12,591,0.94345826,0.7
12,592,0.9024245,0.55
12,593,0.96628666,0.7
12,594,0.8766416,0.7
12,595,1.1072401,0.5
12,596,0.81466264,0.6
12,597,1.0530963,0.5
12,598,1.1866814,0.5
12,599,0.90382606,0.7
12,600,0.87014234,0.65
13,601,0.9064662,0.7
13,602,0.9659872,0.65
13,603,0.98580915,0.65
13,604,0.88935673,0.75
13,605,1.6099565,0.35
13,606,1.1360216,0.6
13,607,1.1001521,0.75
13,608,0.96292037,0.7
13,609,0.85733235,0.65
13,610,1.0730631,0.65
13,611,1.3311961,0.45
13,612,1.0457375,0.5
13,613,0.94231653,0.7
13,614,1.5609429,0.35
13,615,0.94190884,0.65
13,616,0.9024364,0.65
13,617,1.0757507,0.5
13,618,1.2362788,0.4
13,619,1.0046189,0.6
13,620,1.0268342,0.7
13,621,1.1543405,0.6
13,622,0.9274886,0.65
13,623,0.99619645,0.5
13,624,1.1611961,0.6
13,625,0.8279702,0.7
13,626,1.170782,0.4
13,627,0.9310951,0.6
13,628,1.2346795,0.45
13,629,1.0291008,0.5
13,630,0.8652915,0.7
13,631,0.968478,0.5
13,632,1.3449944,0.5
13,633,0.84031427,0.7
13,634,0.8616611,0.7
13,635,1.1599926,0.55
13,636,0.83286446,0.6
13,637,0.9997948,0.55
13,638,0.87822044,0.6
13,639,1.0594339,0.65
13,640,0.8852501,0.6
13,641,0.6793362,0.8
13,642,0.93914205,0.6
13,643,1.0707669,0.6
13,644,0.90066195,0.55
13,645,1.0157094,0.5
13,646,1.1800491,0.6
13,647,0.96210957,0.6
13,648,1.1146505,0.55
13,649,0.83655393,0.65
13,650,0.8630679,0.65
14,651,0.9252225,0.65
14,652,1.2433366,0.45
14,653,0.91387856,0.6
14,654,0.98334515,0.6
14,655,1.0493913,0.5
14,656,1.0489194,0.5
14,657,1.045878,0.55
14,658,1.3599699,0.5
14,659,1.29545,0.5
14,660,1.0431064,0.6
14,661,0.8723127,0.6
14,662,1.111388,0.7
14,663,0.7289712,0.7
14,664,1.0694048,0.55
14,665,1.2599944,0.55
14,666,1.015009,0.55
14,667,1.1657186,0.45
14,668,1.1977408,0.55
14,669,0.9942595,0.55
14,670,1.0576541,0.55
14,671,1.1330794,0.55
14,672,0.9888722,0.5
14,673,0.8880805,0.55
14,674,1.4172215,0.3
14,675,1.1923338,0.4
14,676,0.9510099,0.6
14,677,0.9152104,0.6
14,678,0.67538494,0.75
14,679,0.98292667,0.6
14,680,0.7300587,0.8
14,681,1.3169463,0.4
14,682,0.9979063,0.7
14,683,0.7833643,0.8
14,684,0.8848196,0.7
14,685,1.1343262,0.45
14,686,1.1030625,0.4
14,687,0.92211705,0.6
14,688,1.1035486,0.45
14,689,0.7978967,0.65
14,690,0.7464117,0.65
14,691,1.2150918,0.4
14,692,0.7820353,0.75
14,693,0.80273116,0.8
14,694,0.90667117,0.6
14,695,1.1313008,0.45
14,696,1.2556152,0.5
14,697,1.0749032,0.55
14,698,0.7681384,0.6
14,699,0.94516957,0.65
14,700,0.7474748,0.85
15,701,0.90796363,0.6
15,702,0.63997924,0.75
15,703,0.81764853,0.7
15,704,0.72784775,0.65
15,705,0.9912098,0.6
15,706,0.8851965,0.65
15,707,1.0551574,0.65
15,708,1.0749447,0.5
15,709,1.2473385,0.5
15,710,1.0618002,0.6
15,711,0.7670697,0.65
15,712,1.0829256,0.55
15,713,1.1047403,0.6
15,714,1.031875,0.5
15,715,1.1236933,0.55
15,716,1.026267,0.5
15,717,1.14993,0.65
15,718,1.018007,0.65
15,719,1.1693336,0.6
15,720,1.0632337,0.55
15,721,1.0122466,0.65
15,722,0.88121927,0.6
15,723,0.7394199,0.85
15,724,1.0273594,0.55
15,725,0.9115324,0.5
15,726,0.91105175,0.7
15,727,0.88850516,0.7
15,728,1.0484966,0.55
15,729,0.92948353,0.65
15,730,0.8527403,0.7
15,731,1.4189483,0.45
15,732,1.1656694,0.5
15,733,0.98978376,0.5
15,734,1.2790558,0.5
15,735,1.2472279,0.5
15,736,0.751676,0.8
15,737,0.94717914,0.7
15,738,1.2195156,0.4
15,739,1.0397613,0.55
15,740,0.83494884,0.65
15,741,1.0641783,0.6
15,742,1.0590155,0.5
15,743,0.81963366,0.6
15,744,1.3293889,0.5
15,745,1.0930622,0.6
15,746,0.76561576,0.65
15,747,0.877145,0.55
15,748,1.0925474,0.55
15,749,0.9065502,0.65
15,750,0.92527246,0.7
16,751,0.9556748,0.65
16,752,0.8016472,0.75
16,753,1.151131,0.65
16,754,0.68371916,0.75
16,755,1.2188345,0.6
16,756,1.1276646,0.4
16,757,0.853308,0.65
16,758,0.98242587,0.6
16,759,0.7178968,0.75
16,760,1.1059431,0.55
16,761,0.8372758,0.75
16,762,0.67854255,0.75
16,763,0.69534093,0.75
16,764,1.1207964,0.65
16,765,0.94895697,0.55
16,766,0.9535723,0.7
16,767,1.0679134,0.45
16,768,1.0802522,0.65
16,769,1.109894,0.5
16,770,1.2213457,0.45
16,771,0.8752135,0.65
16,772,1.223057,0.5
16,773,0.9702163,0.5
16,774,0.99906826,0.65
16,775,0.9303489,0.75
16,776,1.0716271,0.45
16,777,1.2621294,0.4
16,778,1.2885427,0.5
16,779,0.9426977,0.55
16,780,1.2937604,0.55
16,781,1.0459683,0.5
16,782,1.1775267,0.45
16,783,1.4315493,0.35
16,784,0.8779688,0.65
16,785,0.94869804,0.55
16,786,0.9727622,0.55
16,787,1.0917432,0.5
16,788,0.85732573,0.65
16,789,0.9853694,0.65
16,790,1.022853,0.65
16,791,0.822142,0.6
16,792,0.9182023,0.65
16,793,1.1206762,0.6
16,794,1.3885136,0.4
16,795,1.0005442,0.6
16,796,0.9410862,0.7
16,797,1.0722086,0.5
16,798,0.7133775,0.8
16,799,1.097969,0.45
16,800,1.274322,0.45
17,801,0.93515635,0.6
17,802,1.2858483,0.65
17,803,0.9578139,0.8
